timestamp;course;score;time
2023-07-06 15:59;"coarse45";889;00:50.436
2023-07-06 16:00;"coarse45";889;00:42.436
2023-07-06 16:19;"coarse45";905;00:42.436
2023-07-06 16:27;"coarse45";905;00:42.436
2023-07-06 16:27;"coarse45";905;00:42.436
2023-07-06 16:28;"coarse45";985;00:42.436
2023-07-06 16:28;"coarse45";1000;00:42.436
2023-07-06 16:29;"coarse45";977;00:42.436
2023-07-06 16:29;"coarse45";953;00:42.436
2023-07-06 16:30;"coarse45";977;00:42.436
2023-07-06 16:30;"coarse45";977;00:42.436
2023-07-06 16:31;"coarse45";977;00:42.436
